full_text,translated_text,sentimen
percaya diri lantang malu selalu nyebut qris qris outlet minimarket resto manapun dibenerin kasir kyuris tetep kris,"confidence loudly, i always call the qris qris outlet minimarket restaurant in the kyuris cashier still kris",Positif
qris mendunia keren,qris worldwide cool,Positif
menyala bi,light bi,Positif
sederhana donald trump tak suka,simple donald trump doesn't like it,Netral
semakin bangga produksi indonesia,increasingly proud of indonesia's production,Positif
majubtrus indonesiaku produk negeri gaeeesss,"continue to move on my indonesia, gaeeesss state products",Netral
pliiiz tambah arab saudi biar umroh transaksi pake qris,plus add saudi arabia can be umrah transactions using qris,Netral
bangga,proud,Positif
jangan pernah tunduk amerika tunduk lah allah,"never submit america, allah is",Netral
taiwan banget pmi tolong tambahkan,taiwan really pmi please add,Positif
next korsel plisss yokk,next korean plisss yokk,Netral
pertahankan qris pokoknya keren pokoknya,maintain qris anyway cool anyway,Positif
minimal asean dulu abisin,minimum asean first abisin,Positif
kemarin thailand nyoba smua bisa tapi langkah bagus lah mudah,"yesterday thailand tried everything, but a good step is easy",Positif
waktu malaysia selalu bayar pak qris kurs juga tinggi nukar uang kertas mantap sih,when malaysia always pays using qris the exchange rate is also high in exchanging paper money,Positif
qris produk indonesia min,qris indonesian products min,Netral
sejak qrisnga lg uang cash dompetku,since the qris is again the cash of my wallet,Netral
berarti mata uangnya langsung keganti sendiri di negara kita pake qris semua layanan qris bisa termasuk ewallet baru bank tertentu,means that the currency is immediately fantastic in our country we use qris all qris services can include new ewallets of certain banks,Positif
coba sg sama penang semua kalau sg bisa ada sama nets kalau penang ketemu sama bisa,try all the same as penang if sg can be the same as nets if you can meet the same,Netral
kemarin coba bayar pakai qris malaysia gagal padahal transaksi internasional diaktifkan,yesterday tried to pay using qris malaysia failed even though international transactions were activated,Negatif
bangga bgdkereeen,proud really cool,Positif
yawla 2025 aja debat kriskyuris,yalla 2025 there is a kris kyuris debate,Netral
perbanyak hal2 positif gini,multiply positive things like this,Positif
cakep sebar luaskan sampe jerman,saucy spread to germany,Netral
semenjak qrisngk nyari atm,since qris hasn't attracted an atm,Netral
qris emng mempermudah keren bi,qris emng makes it easier to cool bi,Positif
akhirnya go internasional,finally go international,Netral
brarti sekarang bisa sg min,means now you can sg min,Netral
qris im lovin it,qris im lovin it,Netral
jepang hadirmin sabar pake qris belnja dijepang,japan presence you patiently use qris shopping in japan,Netral
disuruh stop sama trump jadi2,told to stop with trump so,Netral
sederhana amerika suka,simple america likes,Netral
dibawa china takut dibobol maling,brought by china afraid of being burglarized by a thief,Negatif
pernah ngomongnya qris diketawain skrng qyuris pdhal tau salah,once said the qris was laughed at the qyuris now know wrong,Positif
wihhhhh kereeennn next kaya di arab,wihhhh cool next rich in arabic,Positif
rencana ekspansi usa tidak,usa's expansion plan is not,Netral
semakin mudah menghamburkan uang,the easier it is to waste money,Negatif
mantabbb yuuk melaju australia donggggg banyak brothers sisters indonesia live in aussiebiar repot,mantab let's advance australia donggggg many brothers sisters indonesia live in aussiebiar is a hassle,Positif
bangga weh,proud weh,Positif
sisi terang benderang indonesia,the bright side of indonesia,Positif
qris sdh melangkah lbh besar lhselamat untk qrissemoga ad celah untk tikus,"qris has stepped bigger, happy for qris, hopefully there will be a gap for mice",Positif
mantep semua2 pakai punya us,matep every2 use us,Netral
naice perlu tuker cash,nice needs to exchange cash,Positif
mamarika semakin kejang2 inimah,mamarika increasingly seizures,Negatif
keren bgtttt bangga bangettttttt,cool really proud,Positif
philippines bisa min,philippines can min,Netral
saudi,saudi,Netral
membantu bngt qris hidup jdi lebih mudah,help bngt qris lives so it's easier,Netral
jelasjelas filosofinya penyebutannya qris beberapa staff kasir percaya diri mengoreksi qyuris,clearly clear the philosophy of the mention of qris some cashier staff confidently correct qyuris,Positif
bangga qris mendunia,proud qris worldwide,Positif
bangga,proud,Positif
qris qrcode republik indonesia sob,qris qrcode republic of indonesia friend,Netral
wow keren,"wow, cool",Positif
yeayyyy,yeayyyy,Netral
korea belum,korea hasn't,Netral
gara2 keseringan pake qris ribet tidak bawa uang cash bayar parkir jalanan,"because of the frequent use of complicated qris, don't bring cash paying for street parking",Negatif
cerdas pencetus qris,smart truting qris,Positif
taiwan hongkongjepangkorea dsana org indo,taiwan hongkong japanese korea there,Netral
yang jaga stan makanan liat qris mbuakk bukan qyuris,who guarded food stands for qris mbuakk not kyuris,Positif
semoga arab saudi bisa pakai qris yang umroh haji ngga pusing nukar riyal,hopefully saudi arabia can use qris that hajj is not dizzy,Netral
opa trump makin senewen neh,opa trump is getting more and more,Positif
waahh seruu tinggal duit luar negeri ajaa ada,waahh just just living foreign money,Negatif
bisa pake qris gaperlu tukar uang ya,can use qris gaperlu exchange money,Netral
lah ditakutkan trump,it was feared trump,Netral
sepertinya negara panas liat qris makin berjaya,it seems like a hot country seeing qris more triumphantly,Positif
ditunggu taiwan,waiting for taiwan,Netral
tambah korea tq,added korea tq,Netral
hongkong taiwan termasuk ya,hong kong taiwan is included,Netral
mendunia,worldwide,Netral
harus berani tuhhhhh luvluv,have to dare to tuhhhhh luvluv,Netral
keren sihmemang sangat membantu sekali males bawa cash,cool sihmemang is very helpful for lazy to bring cash,Positif
waktu scan suka gagal ya,the time scan likes to fail,Negatif
keren woydibrunei bisa,cool woy brunei can,Positif
keren bi,cool bi,Positif
terima kasih kemudahannya terpakai sekali malaysia singapore kmarin,thank you for the convenience of being used once malaysia singapore kmarin,Netral
qris satu2nya inovasi pemerintah berguna,qris the only useful government innovation,Positif
kereeennn,cool,Positif
kris guys kris,kris guys kris,Netral
video bagus pilihan music jg bagus Bank Indonesia menyala,good video choices of music too good bank indonesia,Positif
keren,cool,Positif
vt atuh negara tertentu qris ada kode misal malaysia ada duit now di singapura institusi keuangan jadi lebih clear kdg org2 minim dikira semua qr ternyata enggak harus tarik tunai lagi,"vt or certain countries, there is a code, such as malaysia, there is money now in singapore, financial institutions, so it is cleaner, it is minimal, it is thought that all the qr apparently do not have to withdraw cash anymore",Positif
kerennnn,kerennnn,Netral
penjelasannya Bank Indonesia payment id akan luncurkan ini harustidak dampaknya buruk sekali kalau keuangan bisa pantau Bank Indonesia hak privasi bgaimana,the explanation is that bank indonesia payment id will launch this must not be very bad if finance can monitor bank indonesia privacy rights,Negatif
warung kecil di indonesia suka nambahin 1k harga belanjaan dengan alasan kalau bayar pake qrisbagaimana mimin,small stalls in indonesia like to add 1k shopping price on the grounds that if you pay using qris,Negatif
brunei bisa min,brunei can min,Netral
this is so legit nice job gov next stop the world,this is so legit nice job gov next stop the world,Positif
menyala Bank Indonesia ku,like bank indonesia ku,Netral
kmren malay tidak ribet karna qris sesenang,kmren malay is not complicated because qris is as happy,Positif
bangga,proud,Positif
3 taun pernah coba thai waktu thai bisa pake qris jadiny bayar cash karna duitnya masuk di gueny terbayarterpotong sengaja beli jajan murah doang karna ragu bayangin beli mahal situ trauma mau wkwk semoga sekarang lancar ada mau share mungkin,"3 years of trying thai when thai can use qris jadiny pay cash because the money entered in gueny is intended to be intended to buy cheap snacks because hesitant imagine buying expensive there trauma want wkwk, hopefully now there is going to share possible",Negatif
kerennn kecil mendunia,cool small worldwide,Positif
berharap oneday australia qris bisa diimplemantasikan,hoping one day australia qris can be implemented,Netral
warung warung disini belum qris,warung warung here not qris,Netral
qris solusi pembayaran perlu ribet nyari uang receh tidak kembalian kasir,qris payment solution needs to be complicated to find the change money not cashier,Negatif
bayar pakai qris error jaringan lelet ribet,pay using qris error network ribet,Netral
juga donk taiwan,also donk taiwan,Netral
sebenernya qris kyuris ki ar,actually qris kyuris ki ar,Netral
turki sama arab min diprioritaskan soalnya kan warga yang kesana,türkiye and arabic min are prioritized because the residents there are,Netral
qris kudu internet jepang tambah ribet soalnya roaming data mahal,qris must be more complicated japanese internet because roaming is expensive data,Negatif
pernah coba pake qris malaysia nominal cent sayangnya bisa dimasukkan jumlah perlu dibayarkan mobile app bankingnya jadinya pihak tokonya pake sistem split payment ringgit dengan qris sisa cent pake cash ini semua tergantung kebijakan tokony bisa split payment tidak,"ever tried to use qris malaysia nominal cent, unfortunately the amount of mobile app banking needs to be paid so the shop uses the ringgit split payment system with the remaining cent qris using cash.",Negatif
minusnya giliran bayar mbanking maintenance malu,minus turn to pay for the shame maintenance,Negatif
minusnya qris pakek kuota hp,minus qris use cellphone quota,Negatif
takut data transaksi disalahgunakan semua belanja terekam,afraid that the transaction data is misused by all recorded spending,Negatif
vietnam tidak ikut dimasukkan kan hits liburan vietnam,vietnam is not included in the vietnam holiday hits,Netral
kena admin min dibebankan kepelanggan,the admin has been charged a customer,Netral
pas thailand kemarin bisa pake qris,when thailand yesterday i used to use qris,Netral
tahu2 saldo tabungan tinggal piiip,know the balance of the savings remains piiip,Netral
berarti hongkong sama taiwan bisa,means hong kong and taiwan can,Netral
taiwan nih,taiwan,Netral
keren qris,cool qris,Positif
yeayyyy,yeayyyy,Netral
trims qris memudahkan pembayaran selama ln,thanks qris facilitates payments during ln,Positif
keren,cool,Positif
jaga,keep,Netral
resmi beberapa negara,official several countries,Netral
gw cobain agustus bisa malay thailand,i tried august can be malay thailand,Netral
baru balik thailand saya nemu dimana,i just got back thailand where i found,Netral
saudi cepet gak,saudi is fast or not,Positif
allah bangganya klu di luar negri beli apa bayarnya pakai qris,allah is proud if overseas buying what is paying using qris,Positif
gak tau cara pake min,don't know how to use min,Netral
kelasss,classs,Netral
asiik jadi ke jepang china ush tuker uang tinggal scan qris,"asiik so to japan china ush exchanged money, just scan qris",Netral
love bi,love bi,Positif
arab saudi biar oke transaksinya,saudi arabia so that the transaction is okay,Positif
omg,omg,Netral
kerenlah indonesia,cool indonesia,Positif
keren,cool,Positif
cinta rupiah,love rupiah,Positif
punya qris tapi blom punya duit ke luar negeri,have qris but don't have money abroad,Netral
